Date Campaign Ended,Campaign Name,Amount Raised,Charity,Insta Username,Followers,Instagram URL
2/13/15,Mr Bagel Ankle Socks,432,Mr Bagel Instagram,chinnybuddy,88134,https://instagram.com/chinnybuddy/
3/20/15,Otter the Pit Bull Socks,543.5,Otter the Pit Bull Instagram,otterthepitbull,10941,https://instagram.com/otterthepitbull/
4/9/15,Pirate the Frenchy Socks,2676,Pirate the Frenchie Instagram,piratethefrenchie,11109,https://instagram.com/piratethefrenchie/
4/14/15,Chicko Pug Socks,323.5,Chicko Pug Instagram,chickopug,20678,https://instagram.com/chickopug/
4/30/15,Bing Prairie Dog Socks,945.25,Bing Prairie Dog Instagram,prairiedogpack,43923,https://instagram.com/prairiedogpack/
4/30/15,A Golden and a Lab,248,A Golden and a Lab Instagram,agoldenandlab,8939,https://instagram.com/agoldenandlab/
4/30/15,3BullDogges Socks,566.4,3Bulldogges Instagram,3bulldogges,189833,https://instagram.com/3bulldogges/
5/6/15,Abbey Socks,2201.25,abbeybellacavalier Instagram,abbeybellacavalier,10744,https://instagram.com/abbeybellacavalier/
5/6/15,Tyson and Java Socks,571.75,Tyson Instagram,_t_y_s_o_n_,33610,https://instagram.com/_t_y_s_o_n_/
5/12/15,Ralphie and Rhonda Socks,1290.75,Ralphie and Rhonda Instagram,ralphieandrhonda,5917,https://instagram.com/ralphieandrhonda/
5/16/15,Adorable Animals Socks,397.75,Adorable Animals Instagram,adorable_animals,1818213,https://instagram.com/adorable_animals/
5/14/15,Doxie Fever Socks,382.5,Doxie Fever,doxiefever,18959,https://instagram.com/doxiefever/
5/17/15,Bacon the Piglet,387,Bacon the Piglet Instagram,bacon_the_piglet,162270,https://instagram.com/bacon_the_piglet/
5/22/15,Cats and Foodie Socks,1075,Cats and Foodie Instagram,catsandfoodie,31929,https://instagram.com/catsandfoodie
5/26/15,Speedy Socks,"1,972.20",Speedy boy Instagram,speedyboyboy,42127,https://instagram.com/speedyboyboy/
5/28/15,Winston the Sir Socks,446.25,instagram.com/winstonthesir,winstonthesir,28819,instagram.com/winstonthesir
6/2/15,Toby LittleDude Socks,372.25,https://instagram.com/toby_littledude/,toby_littledude,47561,https://instagram.com/toby_littledude/
6/2/15,Sonny Pushkin Socks,243,Gemma Coats Instagram,sonny_pushkin,5430,https://instagram.com/sonny_pushkin/
6/2/15,Nami Kitten Socks,533.5,https://instagram.com/baxter_chibi/,baxter_chibi,32618,https://instagram.com/baxter_chibi/
6/4/15,Lex Husky Socks,328,Lex Instagram,theoneandonlysheeba,14198,https://instagram.com/theoneandonlysheeba/
6/4/15,Bruno Socks,513.05,Bruno Instagram on Behalf of All Dogs Matter,alldogsmatter,915,https://instagram.com/alldogsmatter/
6/5/15,3blondedogs Socks!,304.5,https://instagram.com/3blondedogs/,3blondedogs,14838,https://instagram.com/3blondedogs/
6/11/15,Monte the Maltese,1454,https://instagram.com/MontetheMaltese/,MontetheMaltese,66909,https://instagram.com/MontetheMaltese/
6/12/15,Max Cat in Berlin Socks,790,https://instagram.com/catinberlin/,catinberlin,75155,https://instagram.com/catinberlin/
6/17/15,3BULLDOGGES MASHUP,957,3bulldoggesinstagram,3bulldogges,189834,https://instagram.com/3bulldogges/
6/18/15,Toothless the Frenchie,344.5,instagram.com/bullieslife,bullieslife,33384,instagram.com/bullieslife
6/18/15,Juelz Socks,461.75,instagram.com/sd_bullies/,sd_bullies,101596,instagram.com/sd_bullies/
6/19/15,Ernest the Pug,453,https://instagram.com/ernestthepug/,ernestthepug,29690,https://instagram.com/ernestthepug/
6/19/15,Ziggy and Lambchop Socks,505.5,https://instagram.com/life_of_ziggy/,life_of_ziggy,36166,https://instagram.com/life_of_ziggy/
6/20/15,Gracie Socks,248.75,https://instagram.com/graciethelabrador/,graciethelabrador,54751,https://instagram.com/graciethelabrador/
,Cash Cats,"8,254.15",,cashcats,113714,https://instagram.com/cashcats
